City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Bhilwara,IN,76.59,light rain,25.35,74.6333,Hotel Radiance Bhilwara
7,Kahului,US,91.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
8,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
9,Sur,OM,89.53,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
10,Vung Tau,VN,78.82,overcast clouds,10.346,107.0843,Seaside Resort
11,Weihai,CN,73.89,clear sky,37.5017,122.1136,Beihai Travel Resort
15,Butaritari,KI,81.99,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
16,Atuona,PF,77.22,scattered clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
18,Hithadhoo,MV,81.55,clear sky,-0.6,73.0833,Scoop Guest House
19,Rikitea,PF,73.15,broken clouds,-23.1203,-134.9692,People ThankYou
20,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
24,Hun,LY,84.94,clear sky,29.1268,15.9477,Alrwasi Hotel
25,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
27,Faanui,PF,78.24,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
29,Biak,ID,75.29,overcast clouds,-0.9131,122.8766,Penginapan Kim
33,Ixtapa,MX,87.22,broken clouds,20.7,-105.2,hotel la terminal
34,Cabo San Lucas,MX,92.5,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
38,Merrill,US,78.89,scattered clouds,45.1805,-89.6835,Prairie Motel
39,Guerrero Negro,MX,82.45,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
44,Isangel,VU,73.51,broken clouds,-19.55,169.2667,Tanna Lodge
45,Jamestown,US,76.59,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
49,Fortuna,US,74.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
56,Butterworth,MY,82.0,few clouds,5.3991,100.3638,Cititel Penang
57,Wanxian,CN,81.77,scattered clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
