City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Namibe,AO,-15.1961,12.1522,61.38,90,54,8.57,broken clouds
1,Provideniya,RU,64.3833,-173.3,48.36,100,100,8.99,overcast clouds
2,Albany,US,42.6001,-73.9662,81.68,53,83,9.35,broken clouds
3,Bhilwara,IN,25.35,74.6333,76.59,91,99,8.41,light rain
4,Bluff,NZ,-46.6,168.3333,41.65,80,99,9.69,overcast clouds
5,Dikson,RU,73.5069,80.5464,43.97,93,100,19.44,overcast clouds
6,Saskylakh,RU,71.9167,114.0833,43.66,69,100,7.09,overcast clouds
7,Kahului,US,20.8947,-156.47,91.42,49,20,28.77,few clouds
8,Kapaa,US,22.0752,-159.319,84.18,71,20,14.97,few clouds
9,Sur,OM,22.5667,59.5289,89.53,59,100,4.12,overcast clouds
10,Vung Tau,VN,10.346,107.0843,78.82,86,89,6.67,overcast clouds
11,Weihai,CN,37.5017,122.1136,73.89,86,10,5.28,clear sky
12,Cape Town,ZA,-33.9258,18.4232,59.88,77,75,12.66,broken clouds
13,Narsaq,GL,60.9167,-46.05,55.62,81,11,3.56,few clouds
14,Mount Gambier,AU,-37.8333,140.7667,46.31,100,100,8.05,light rain
15,Butaritari,KI,3.0707,172.7902,81.99,75,97,13.06,overcast clouds
16,Atuona,PF,-9.8,-139.0333,77.22,68,33,25.48,scattered clouds
17,Saint-Philippe,RE,-21.3585,55.7679,64.22,70,31,12.5,scattered clouds
18,Hithadhoo,MV,-0.6,73.0833,81.55,74,5,6.91,clear sky
19,Rikitea,PF,-23.1203,-134.9692,73.15,70,77,20.94,broken clouds
20,Vaini,TO,-21.2,-175.2,77.16,78,20,12.66,few clouds
21,Busselton,AU,-33.65,115.3333,49.51,89,2,11.92,clear sky
22,Chicama,PE,-7.8447,-79.1469,61.34,66,20,9.22,few clouds
23,Hermanus,ZA,-34.4187,19.2345,58.8,72,100,13.89,overcast clouds
24,Hun,LY,29.1268,15.9477,84.94,25,0,6.08,clear sky
25,Georgetown,MY,5.4112,100.3354,82.89,88,20,1.14,few clouds
26,Hobart,AU,-42.8794,147.3294,44.26,93,75,3.44,broken clouds
27,Faanui,PF,-16.4833,-151.75,78.24,75,10,14.5,light rain
28,Bichena,ET,10.45,38.2,53.04,92,96,4.29,overcast clouds
29,Biak,ID,-0.9131,122.8766,75.29,88,96,1.61,overcast clouds
30,Castro,BR,-24.7911,-50.0119,47.73,75,0,4.94,clear sky
31,Iroquois Falls,CA,48.7669,-80.6831,67.53,38,30,9.84,scattered clouds
32,Santiago Del Estero,AR,-27.7951,-64.2615,66.69,32,100,7.38,overcast clouds
33,Ixtapa,MX,20.7,-105.2,87.22,74,75,11.5,broken clouds
34,Cabo San Lucas,MX,22.8909,-109.9124,92.5,61,20,8.05,few clouds
35,New Norfolk,AU,-42.7826,147.0587,44.71,86,98,1.74,light rain
36,Coquimbo,CL,-29.9533,-71.3436,53.33,87,100,3.44,overcast clouds
37,Kvam,NO,61.6656,9.6898,59.25,74,94,4.38,overcast clouds
38,Merrill,US,45.1805,-89.6835,78.89,47,40,1.01,scattered clouds
39,Guerrero Negro,MX,27.9769,-114.0611,82.45,48,1,16.4,clear sky
40,Chapais,CA,49.7834,-74.8492,51.58,96,100,8.12,overcast clouds
41,Upernavik,GL,72.7868,-56.1549,42.1,81,100,10.6,overcast clouds
42,Torzhok,RU,57.0436,34.9622,55.94,80,51,4.27,broken clouds
43,Tczew,PL,54.0924,18.7779,58.89,100,0,2.98,clear sky
44,Isangel,VU,-19.55,169.2667,73.51,68,75,4.61,broken clouds
45,Jamestown,US,42.097,-79.2353,76.59,47,40,12.66,scattered clouds
46,Port Lincoln,AU,-34.7333,135.8667,53.19,81,77,15.3,light rain
47,Mataura,NZ,-46.1927,168.8643,38.46,70,19,2.82,few clouds
48,Bambous Virieux,MU,-20.3428,57.7575,69.22,94,75,18.41,light intensity shower rain
49,Fortuna,US,40.5982,-124.1573,74.93,69,20,14.97,few clouds
50,Ushuaia,AR,-54.8,-68.3,35.26,87,40,0.0,scattered clouds
51,Yermakovskoye,RU,53.2831,92.4003,61.57,86,95,1.7,overcast clouds
52,Port Elizabeth,ZA,-33.918,25.5701,58.1,92,100,5.75,overcast clouds
53,Punta Arenas,CL,-53.15,-70.9167,35.71,69,75,10.36,broken clouds
54,Maryborough,AU,-25.5333,152.7,61.11,89,100,1.88,overcast clouds
55,Leningradskiy,RU,69.3833,178.4167,49.98,75,99,2.64,overcast clouds
56,Butterworth,MY,5.3991,100.3638,82.0,89,20,1.14,few clouds
57,Wanxian,CN,30.8039,108.3897,81.77,78,38,2.04,scattered clouds
58,Coos Bay,US,43.3665,-124.2179,75.31,94,100,8.05,mist
59,Taltal,CL,-25.4,-70.4833,58.6,75,92,4.83,overcast clouds
60,Talnakh,RU,69.4865,88.3972,47.21,72,95,3.06,overcast clouds
61,Katsuura,JP,35.1333,140.3,81.7,83,53,19.42,broken clouds
62,Bubaque,GW,11.2833,-15.8333,80.1,81,100,14.63,moderate rain
63,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.21,66,95,29.3,overcast clouds
64,Polis,CY,35.0367,32.4264,76.82,87,0,7.07,clear sky
65,Port Alfred,ZA,-33.5906,26.891,62.44,80,92,4.0,overcast clouds
66,Qaqortoq,GL,60.7167,-46.0333,45.0,90,31,1.7,scattered clouds
67,Phangnga,TH,8.4509,98.5298,78.84,92,86,2.46,overcast clouds
68,Avarua,CK,-21.2078,-159.775,78.85,73,40,13.8,scattered clouds
69,Geraldton,AU,-28.7667,114.6,50.41,76,0,16.11,clear sky
70,Sirjan,IR,29.452,55.6814,76.93,19,0,6.64,clear sky
71,Pochutla,MX,15.7432,-96.4661,76.82,63,100,5.88,overcast clouds
72,Tasiilaq,GL,65.6145,-37.6368,35.76,86,24,1.34,few clouds
